#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-9307.724490324326,32991.81372067493,23684.089230350604,297.1730487411717,113.64861310161453,0.8620708576247714,0
10000,-9388.43227531435,33453.37432292139,24064.942047607037,301.33054588606,112.94210722643658,0.8674635153384306,580
15000,-9098.474294133834,33123.4423200481,24024.96802591427,298.3586905039568,113.95212042900707,0.859774763256052,582
20000,-8588.992487641866,33115.22868092934,24526.23619328747,298.2847063271895,113.59349533984921,0.8624891510843856,580
25000,-9354.423086528317,32931.43761928979,23577.014532761474,296.629212313395,113.18010959448218,0.8656393576168715,580
30000,-9874.632985960168,33162.22735552907,23287.5943695689,298.70804587244294,112.96285059195453,0.8673042230341212,581
35000,-9453.167534226377,32791.375638691854,23338.208104465477,295.36760705157417,113.78384537317712,0.8610462851123716,561
40000,-9872.66672822216,32665.724731471255,22793.058003249094,294.23580922160403,113.11790133193556,0.8661154088854616,551
45000,-8993.915015811333,32693.56145015024,23699.646434338905,294.48654786322044,114.05256181840325,0.8590175950661193,554
50000,-9516.522200780164,33291.9664864339,23775.444285653735,299.8766682888534,113.20166878152969,0.8654744971423978,557
55000,-9757.689259575098,33115.23637328801,23357.547113712913,298.2847756159439,113.32975932897243,0.8644962977462894,550
60000,-9466.416032201669,33209.152886052034,23742.736853850365,299.1307265740064,112.98437173561415,0.8671390198427968,549
65000,-9717.041267027555,33257.34652705328,23540.30526002573,299.56482975328396,113.35489210451401,0.864304623694959,551
70000,-9932.432057446335,32741.14261859289,22808.710561146556,294.9151342091693,113.97916393247,0.8595707670080952,534
75000,-9946.088020295196,33504.91972592459,23558.831705629396,301.79483998909853,112.9153659193116,0.867668953350295,538
80000,-9214.301787178847,32963.32308179808,23749.021294619233,296.9164199275121,113.79329775930927,0.8609747611990585,540
85000,-10146.8822457309,33199.81677245367,23052.93452672277,299.04663173263424,113.4625992974343,0.8634841610453932,542
90000,-10136.887390929158,32815.971073894085,22679.083682964927,295.58914990235667,113.2089846581323,0.8654185677950678,545
95000,-10379.15112299478,32867.956782372894,22488.805659378115,296.0574100474464,113.19724159971372,0.8655083461382016,547
100000,-9439.35082697065,33504.69803727337,24065.347210302716,301.792843133366,113.86002774559736,0.8604701694196011,549
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-9632.286338844511,33105.66697550037,23473.380636655857,298.1985794722809,112.81171444989393,0.8684661680936521,0
110000,-9555.086638030654,32931.79179604604,23376.705158015386,296.63240255286894,113.75393671526598,0.8612726749809837,582
115000,-9497.570486242417,33047.816161340685,23550.245675098267,297.6774895145858,113.51971707639143,0.8630496964544501,581
120000,-9562.272356390662,33452.75185036179,23890.47949397113,301.3249389779385,113.20950735121491,0.8654145721209452,581
125000,-9861.637016269204,33018.267710870234,23156.63069460103,297.4113324858687,113.0552432141189,0.866595432277477,580
130000,-9857.222170614754,33721.65016584614,23864.42799523139,303.74703474055417,112.89550763246338,0.8678215760659926,579
135000,-9489.784146756923,32823.26951661671,23333.485369859787,295.65489046737406,113.29677236317882,0.8647480005018722,578
140000,-9273.207628917648,33233.61925706419,23960.41162814654,299.35110688188735,113.9713370757882,0.8596297970885861,579
145000,-9622.043656962283,33099.145005075174,23477.10134811289,298.13983296469377,113.89329321816805,0.8602188469228156,579
150000,-9358.71593260183,33068.532855182406,23709.816922580576,297.8640946864295,113.68354099944784,0.8618059967436318,580
155000,-9662.273454294715,33129.23989031171,23466.96643601699,298.4109119927513,112.82708856471939,0.8683478286172006,580
160000,-9906.692642553011,32986.411512252176,23079.718869699165,297.1243884656102,113.77195762138318,0.8611362537191751,576
165000,-9374.834539725329,33527.55742489613,24152.7228851708,301.9987485731131,113.76278490785536,0.8612056872880718,576
170000,-9624.453663305729,33072.743496314106,23448.289833008377,297.90202194538097,113.85718169631096,0.8604916783000703,577
175000,-9922.681507557805,33031.38606923572,23108.704561677914,297.5294958152012,113.29340410603325,0.8647737097976144,577
180000,-10035.692590928811,32925.46021912849,22889.767628199676,296.5753710106852,112.67955529689311,0.8694847712722207,572
