#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-74952.28593704163,15246.01572244751,-59706.270214594115,295.2301104423105,54.759260949774266,1.0488116312143607,0
10000,-74543.24596932286,15244.363509004525,-59298.88246031833,295.19811630258727,55.59359253630606,1.03307138791793,672
15000,-74749.16945928952,15505.772655455192,-59243.39680383433,300.2601503829818,55.401638030631375,1.0366507533418334,676
20000,-74117.09080773278,15543.36384641326,-58573.72696131952,300.98808164451583,55.64557164841938,1.0321063850991448,676
25000,-74797.25846995902,15550.450151307325,-59246.808318651696,301.125303763041,55.2562820716535,1.0393777439884668,675
30000,-73844.92821262486,15441.69458251118,-58403.23363011368,299.0193162597205,55.56450245086624,1.0336122392459257,676
35000,-74500.193683172,15407.637034454101,-59092.556648717895,298.3598119106937,55.15776144263993,1.041234239728,677
40000,-74729.65959020029,15529.755341654785,-59199.9042485455,300.72456096895445,55.48944093681359,1.035010424167441,677
45000,-74587.33588200086,15382.94350626164,-59204.39237573922,297.8816362884072,54.96932074602055,1.0448037017991227,676
50000,-74326.2796674174,15547.18393705428,-58779.09573036312,301.0620554487136,55.37820904789113,1.0370893314942382,676
55000,-74540.54384508857,15075.268590058207,-59465.27525503036,291.9236928397902,55.403400235129915,1.0366177808056136,676
60000,-74820.52555862954,14938.490382347323,-59882.03517628222,289.2750634467921,55.06931972777584,1.0429064692414929,672
65000,-73910.74171221978,15450.435075549814,-58460.306636669964,299.1885707569015,55.706962889173354,1.030968963701798,673
70000,-74332.79519198497,15619.091831013493,-58713.70336097148,302.4545094420539,54.798009442929136,1.04807000080249,673
75000,-74470.1296291392,15511.337328127984,-58958.79230101122,300.3679069901946,55.29400806244018,1.038668597435927,673
80000,-74620.48442242038,15510.034785973816,-59110.44963644657,300.34268402892843,55.462602441323504,1.0355112683647645,673
85000,-74139.64154718758,15429.876178495859,-58709.76536869172,298.7904598301973,55.3216637298067,1.0381493601010734,674
90000,-74488.85811574559,15177.654607953036,-59311.203507792554,293.9063377432933,55.13232448925578,1.0417146444100684,674
95000,-74383.58654559776,15460.188889952116,-58923.39765564565,299.37744762516985,54.994037124964,1.044334127904111,674
100000,-74892.80355358345,15312.89315307897,-59579.91040050448,296.52515247761113,54.87591954782691,1.0465820030727833,674
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-73984.2485150675,15603.47038913461,-58380.77812593289,302.1520094253197,55.40960640142069,1.0365016741817723,0
110000,-74308.01633156207,15434.32134500117,-58873.694986560906,298.87653786016836,55.17025297814677,1.0409984856073575,676
115000,-74628.37640713213,15319.23320817358,-59309.143198958554,296.64792390851267,55.07178681791009,1.0428597494161544,674
120000,-74041.65713637276,15172.259053968452,-58869.3980824043,293.80185601982106,55.582265835580394,1.0332819099300017,673
125000,-74202.39998784207,15704.06493502884,-58498.33505281323,304.09996352919234,55.282269260691834,1.038889151420244,674
130000,-74225.76194396045,15427.130532300725,-58798.63141165972,298.73729200955603,55.3913257630271,1.0368437478194594,675
135000,-74226.6159192851,15677.060059849084,-58549.55585943602,303.5770300345048,55.21805013548564,1.0400973895294623,675
140000,-74007.50311215548,15260.09266077977,-58747.410451375705,295.5027020579943,55.57106604775559,1.0334901574763862,674
145000,-74941.24668877607,15564.782061825512,-59376.464626950554,301.4028327648578,55.49719017025702,1.0348659026634033,675
150000,-74623.2427672951,15397.676844677335,-59225.56592261777,298.16693870490974,54.751763902261416,1.0489552428548052,675
155000,-74526.5819379799,15109.926398967858,-59416.65553901205,292.5948208865113,55.02719221747103,1.04370489364331,675
160000,-74628.01579968608,15368.076924018429,-59259.93887566765,297.5937536837015,55.21121227258502,1.0402262047294941,672
165000,-74067.07772798021,15112.186414727337,-58954.891313252876,292.6385847599336,55.35112726278034,1.0375967507972435,673
170000,-74181.39238398615,15717.58850416376,-58463.80387982239,304.3618394764536,55.50287661230436,1.03475987743838,673
175000,-74576.75013234653,15313.061135817048,-59263.688996529476,296.52840536434684,54.91176441840657,1.0458988234873432,672
180000,-74468.48195150564,15196.344541709901,-59272.137409795745,294.2682572970738,54.99441055279995,1.0443270365755657,673
185000,-74394.06522143795,15482.933430385085,-58911.13179105287,299.8178822479742,55.384482227575454,1.0369718645167838,673
190000,-74318.66505860817,15467.489045334501,-58851.17601327367,299.5188108323856,55.38239720732605,1.0370109041294513,673
195000,-74530.36971735954,15267.342759260542,-59263.026958099,295.6430959428074,55.21885810702619,1.0400821706510037,674
200000,-74246.08519083902,15503.232767145591,-58742.852423693424,300.210966942547,55.70125652036531,1.0310745823090621,674
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,-74325.34629383415,15458.878652136864,-58866.467641697294,299.35207564196156,55.844994118312755,1.0284207332737882,0
210000,-74113.48855911603,15659.309546730548,-58454.17901238548,303.23330180781295,55.348255460506806,1.0376505875926971,655
215000,-74558.79690300778,15587.336572998436,-58971.460330009344,301.8395875830199,54.938828904387506,1.0453835829077704,666
220000,-74470.00669684645,15216.649886795632,-59253.35681005082,294.66145833932404,55.03465922244166,1.043563285614137,671
225000,-74711.8389460136,15832.776376099764,-58879.06256991383,306.5923847397128,54.78076293063203,1.0483999624749833,673
230000,-74728.13288596598,15282.948300144602,-59445.18458582138,295.9452880461469,55.19555257083026,1.0405213305388181,672
235000,-74384.49064008426,15281.427269411277,-59103.063370672986,295.9158341822942,55.459858243978914,1.035562506275623,673
240000,-74749.88874948234,15296.215122009246,-59453.673627473094,296.20219223381275,54.88544605486029,1.0464003470686885,674
245000,-74575.88417497848,15066.248656767892,-59509.63551821058,291.7490271468012,54.72856610566079,1.0493998634998982,674
250000,-74484.52749092353,15547.91066349191,-58936.61682743162,301.07612807794004,54.83063065599308,1.0474464567288022,675
255000,-74094.65161077993,15511.088360437618,-58583.56325034231,300.3630858775799,55.397661409718694,1.0367251674409124,675
260000,-74477.01118313463,15574.870257741908,-58902.14092539272,301.5981847341055,54.76514848539537,1.0486988785603575,672
265000,-74408.22195294709,15636.721229075723,-58771.500723871366,302.79589234704997,55.081773466663705,1.0426706728240034,672
270000,-74232.54306163348,15638.971294085799,-58593.57176754768,302.8394635300738,54.97282968989017,1.0447370114438133,672
275000,-74603.80859193171,15201.751461101838,-59402.05713082987,294.37295910496215,55.48898476297642,1.0350189329674975,673
280000,-74075.00424371439,15154.237433051663,-58920.766810662724,293.45287795037177,55.578850046893656,1.0333454138106177,673
285000,-74310.813536842,15415.730724819865,-58895.08281202214,298.51654145525606,55.42192809448159,1.0362712337058542,674
290000,-74584.30083136284,15537.870111941422,-59046.43071942142,300.8816987137628,54.91151898116878,1.0459034983264845,673
295000,-74127.59258650604,15456.185460775703,-58671.40712573034,299.2999235782701,55.205249070636405,1.0403385686629147,674
300000,-74719.12614809,15069.84809740584,-59649.27805068416,291.818728193712,54.80992753809213,1.0478421041682833,674
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
305000,-74173.35595234577,15785.421139544844,-58387.93481280092,305.675378488857,55.22275302049722,1.0400088126629308,0
310000,-73906.9184701721,15232.460626257085,-58674.45784391501,294.96762399219733,54.895001617972405,1.0462182003474525,634
315000,-74537.58078534144,15387.693369545019,-59149.887415796424,297.97361459193695,55.03911474886689,1.0434788070788867,655
320000,-74428.93907846569,15070.918540319952,-59358.020538145734,291.83945668996364,55.321565775790276,1.0381511982793326,663
325000,-74358.89930734737,15400.951476417671,-58957.9478309297,298.2303500189184,55.5085574460789,1.0346539784719726,667
330000,-74971.6419683873,15308.201280356298,-59663.440688031,296.4342971271174,54.7174962860251,1.04961216610881,670
335000,-74778.45725515985,15573.778491117246,-59204.678764042605,301.57704331676445,54.94289827874399,1.0453061560286243,672
340000,-74367.50428598374,15425.79694979401,-58941.707336189735,298.71146797015393,55.036361315158764,1.0435310116515089,672
345000,-74355.53349496808,15233.688727750034,-59121.84476721805,294.99140545392464,55.21130512970332,1.0402244552253388,672
350000,-74598.66523004603,15372.077726863343,-59226.58750318269,297.67122687323933,54.83735465809499,1.047318021792059,673
355000,-74482.32167682727,15252.029652713902,-59230.29202411337,295.3465666580892,54.72518694958618,1.049464661559459,672
360000,-74338.93662252394,15253.241237719636,-59085.6953848043,295.3700282877743,55.18581506438204,1.0407049299502575,670
365000,-74348.01749126136,15424.92166509104,-58923.09582617032,298.69451859766014,54.948099462363416,1.0452072112187176,671
370000,-74622.45568970102,15337.686255545876,-59284.76943415514,297.0052562970461,55.30163680302669,1.0385253153606893,672
375000,-74337.23598289653,15259.354978475487,-59077.88100442104,295.4884172748661,55.631236461713684,1.032372340678628,672
380000,-74092.94489891117,15288.69396934191,-58804.25092956926,296.0565495444011,55.02094435691831,1.0438234107409337,673
385000,-74726.49330957269,15088.333053073462,-59638.16025649923,292.1766784675818,54.668954449401156,1.0505441411721512,673
390000,-74215.83430219139,14888.288034346571,-59327.54626784482,288.3029245605057,54.796454577356876,1.0480997400981094,673
395000,-74520.76006331819,15417.651784925882,-59103.108278392305,298.55374165218564,55.41137081911071,1.0364686697304721,673
400000,-74313.56974858954,15472.94301468858,-58840.62673390096,299.6244237350657,55.09148513249658,1.0424868682102078,673
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
405000,-74364.92370226211,15162.778908041939,-59202.14479422017,293.61827858032177,55.09516727060853,1.0424171963892694,0
410000,-74390.55022686615,15448.887000814831,-58941.66322605132,299.1585932018929,55.09111608724185,1.0424938516380118,675
415000,-74462.83919138368,15304.259694043041,-59158.579497340645,296.3579706308206,55.231159755656186,1.0398505129152933,679
