#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-97827.50685296895,23869.839172365333,-73957.66768060361,302.1980812369993,80.93059188370887,1.0579136697357172,0
2000,-97705.5073643545,23198.611351029347,-74506.89601332515,293.7001706220228,81.46893412442547,1.0509230343288463,672
3000,-97660.04753815872,23738.687025420597,-73921.36051273812,300.5376625441621,81.1878276482145,1.0545617727888674,667
4000,-98301.57231660414,23973.11526463802,-74328.45705196612,303.5055821672358,80.94694082370856,1.0577000017831628,670
5000,-98001.67646408809,23559.113274683434,-74442.56318940465,298.26421434363436,81.53693141659343,1.050046622629635,671
6000,-97733.9499438256,23570.844012984442,-74163.10593084116,298.4127283985662,81.12552096256303,1.055371705940576,673
7000,-97790.61052910227,23338.253895930236,-74452.35663317204,295.468079857748,81.45522284209484,1.0510999352313135,674
8000,-97971.73770089872,23439.5277521661,-74532.20994873262,296.75023198340546,81.18124166915773,1.0546473260719518,674
9000,-98195.01119365095,23785.183959611535,-74409.82723403942,301.1263252575738,81.00923008570673,1.0568867197354648,675
10000,-97841.04348520702,23169.083083654816,-74671.9604015522,293.32633543702633,80.94988679628884,1.0576615093858694,675
11000,-98422.8320212129,23630.172996458055,-74792.65902475484,299.16384803695166,80.9245451764031,1.0579927173757344,675
12000,-98452.94948120322,23470.69725528901,-74982.25222591421,297.14484561983744,81.18333042680482,1.0546201911582234,610
13000,-97931.67038806545,23978.116029405548,-73953.55435865991,303.5688930888784,81.30238487478097,1.0530758671525227,615
14000,-98193.05673599034,23769.444282794764,-74423.61245319557,300.92705704721965,80.74242559736314,1.060379085965609,619
15000,-98340.3650047459,23589.097496672115,-74751.26750807378,298.64382202707674,79.98914110076959,1.0703650304948003,623
16000,-98581.4232455754,23848.99336790375,-74732.42987767165,301.93416818485673,80.20052593012863,1.0675438653378515,627
17000,-98385.99406326894,23171.04153030477,-75214.95253296418,293.3511298571122,80.61756280004865,1.0620214315574228,630
18000,-98380.44238194328,24025.650476437077,-74354.79190550621,304.1706909720506,80.46447831364353,1.064041938106505,632
19000,-98294.12143058074,23366.585819959568,-74927.53561062117,295.8267690394216,80.96629466890984,1.057447173588571,635
20000,-98253.39190353721,23632.398878668577,-74620.99302486863,299.1920282575314,80.92983405610238,1.057923576047692,637
21000,-97830.19706357806,23490.28430007585,-74339.91276350222,297.3928224624523,81.3922410399605,1.0519132826376305,639
22000,-98257.23331339331,23607.270185740093,-74649.96312765322,298.873892775673,80.75250523393996,1.0602467280184562,632
23000,-98280.82474200765,23720.42838067505,-74560.3963613326,300.30650357537945,80.95486457619698,1.0575964755396812,634
24000,-98249.8252216755,23456.5719149157,-74793.25330675981,296.9660153090503,81.11479148556764,1.0555113054665453,636
25000,-98017.33572720818,23330.71060281422,-74686.62512439396,295.3725798969226,81.09074820977621,1.055824262862778,637
26000,-98492.96470452118,23342.09485185967,-75150.8698526615,295.5167073119847,81.08069828302058,1.0559551319442397,638
27000,-98225.09644256975,23758.73443758636,-74466.36200498338,300.7914677519189,80.76328324084184,1.0601052361660486,639
28000,-97796.25607867067,23620.90547602273,-74175.35060264794,299.0465189308293,81.15867809264257,1.054940537053175,608
29000,-98491.100140178,23721.71914854885,-74769.38099162915,300.3228450166422,80.43654323260812,1.0644114728549106,610
30000,-98141.21186105075,23355.18570667764,-74786.0261543731,295.68244077919303,80.93029467448036,1.0579175548285231,612
