,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
107,7073,298.15,101.0,Liquid,2,O,Solvent,0.2192,,OCC(O)CO,Solvent,0.7808,,,,-1.0837782441046429,0.08245390660439579,SimulationLayer
108,7074,298.15,101.0,Liquid,2,O,Solvent,0.5022,,OCC(O)CO,Solvent,0.4978,,,,-0.737695765114843,0.07333616250741852,SimulationLayer
109,7075,298.15,101.0,Liquid,2,O,Solvent,0.8005,,OCC(O)CO,Solvent,0.1995,,,,0.1516566475637493,0.04604788953898936,SimulationLayer
110,7130,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.2538,,O,Solvent,0.7462,,0.98479082507943,0.0009512656798784523,,,SimulationLayer
111,7131,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.4983,,O,Solvent,0.5017,,0.976790865856588,0.000579229392431549,,,SimulationLayer
112,7132,293.15,101.0,Liquid,2,CN1CCOCC1,Solvent,0.7587,,O,Solvent,0.2413,,0.9657229241962546,0.000567013843145783,,,SimulationLayer
113,7187,303.2,101.0,Liquid,2,CCCOC(C)=O,Solvent,0.831128,,O,Solvent,0.168872,,0.8894650428339135,0.0004758152993990427,,,SimulationLayer
114,7290,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.298,,O,Solvent,0.702,,1.0328492533473828,0.000834373102968035,,,SimulationLayer
115,7291,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.498,,O,Solvent,0.502,,1.0426279039900732,0.0007428956550811781,,,SimulationLayer
116,7292,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.793,,O,Solvent,0.207,,1.0440470267631095,0.0004899490903381967,,,SimulationLayer
117,7293,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.201,,O,Solvent,0.799,,,,-1.6082949272751677,0.05468955532059679,SimulationLayer
118,7294,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.4911,,O,Solvent,0.5089,,,,-1.7362234241477381,0.0824757437292296,SimulationLayer
119,7295,298.15,101.0,Liquid,2,C1COCCN1,Solvent,0.7149,,O,Solvent,0.2851,,,,-1.452366431669887,0.1192949129154507,SimulationLayer
120,7344,303.15,100.0,Liquid,2,NCCCNCCCN,Solvent,0.3005,,O,Solvent,0.6995,,,,-4.987187572336651,0.11820337164909164,SimulationLayer
121,7345,303.15,100.0,Liquid,2,NCCCNCCCN,Solvent,0.4998,,O,Solvent,0.5002,,,,-3.7927466076354097,0.09133044058471272,SimulationLayer
122,7346,303.15,100.0,Liquid,2,NCCCNCCCN,Solvent,0.8015,,O,Solvent,0.1985,,,,-2.2769606305958012,0.1519640378211458,SimulationLayer
