,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
83,6846,298.15,101.0,Liquid,2,O,Solvent,0.6998,,OCCN1CCOCC1,Solvent,0.3002,,,,-2.426,,10.1016/j.jct.2015.06.006
84,6847,298.15,101.0,Liquid,2,O,Solvent,0.5011,,OCCN1CCOCC1,Solvent,0.4989,,,,-2.2633,,10.1016/j.jct.2015.06.006
85,6848,298.15,101.0,Liquid,2,O,Solvent,0.3051,,OCCN1CCOCC1,Solvent,0.6949,,,,-1.7936,,10.1016/j.jct.2015.06.006
86,6897,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.2449,,O,Solvent,0.7551,,1.0275000000000003,,,,10.1016/j.jct.2008.11.012
87,6898,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.4974,,O,Solvent,0.5026,,0.9928000000000002,,,,10.1016/j.jct.2008.11.012
88,6899,293.15,101.0,Liquid,2,NCCNCCN,Solvent,0.6988,,O,Solvent,0.3012,,0.9718000000000002,,,,10.1016/j.jct.2008.11.012
89,6900,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.2416,,O,Solvent,0.7584,,,,-6.523,,10.1016/j.jct.2015.04.030
90,6901,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.501,,O,Solvent,0.499,,,,-5.417,,10.1016/j.jct.2015.04.030
91,6902,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.702,,O,Solvent,0.298,,,,-3.393,,10.1016/j.jct.2015.04.030
92,6915,298.15,101.3,Liquid,2,CN(C)CCCO,Solvent,0.289504,,O,Solvent,0.710496,,0.9443,,,,10.1016/j.jct.2016.02.007
93,6916,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.5013,,O,Solvent,0.4987,,0.9170700000000004,,,,10.1016/j.tca.2012.05.025
94,6917,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.8006,,O,Solvent,0.1994,,0.8915100000000002,,,,10.1016/j.tca.2012.05.025
95,6918,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.1998,,O,Solvent,0.8002,,,,-2.514,,10.1016/j.jct.2015.04.030
96,6919,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.5019,,O,Solvent,0.4981,,,,-2.706,,10.1016/j.jct.2015.04.030
97,6920,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.8001,,O,Solvent,0.1999,,,,-1.26,,10.1016/j.jct.2015.04.030
98,7016,298.15,101.3,Liquid,2,NCCCO,Solvent,0.272809,,O,Solvent,0.727191,,1.0118000000000005,,,,10.1021/acs.jced.5b00412
99,7017,298.15,101.3,Liquid,2,NCCCO,Solvent,0.489642,,O,Solvent,0.510358,,1.0059000000000002,,,,10.1021/acs.jced.5b00412
100,7018,298.15,101.3,Liquid,2,NCCCO,Solvent,0.708044,,O,Solvent,0.291956,,0.9975000000000004,,,,10.1021/acs.jced.5b00412
101,7019,298.15,101.0,Liquid,2,NCCCO,Solvent,0.2982,,O,Solvent,0.7018,,,,-2.501,,10.1016/j.jct.2007.03.010
102,7020,298.15,101.0,Liquid,2,NCCCO,Solvent,0.4989,,O,Solvent,0.5011,,,,-2.462,,10.1016/j.jct.2007.03.010
103,7021,298.15,101.0,Liquid,2,NCCCO,Solvent,0.7515,,O,Solvent,0.2485,,,,-1.531,,10.1016/j.jct.2007.03.010
104,7070,298.15,101.0,Liquid,2,O,Solvent,0.74401,,OCC(O)CO,Solvent,0.25599,,1.1613400000000005,,,,10.1016/j.tca.2013.07.012
105,7071,298.15,101.0,Liquid,2,O,Solvent,0.50929,,OCC(O)CO,Solvent,0.49071,,1.2137500000000003,,,,10.1016/j.tca.2013.07.012
