#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,405.6560688203899,38805.06934411984,39210.72541294023,296.32870334054513,130.63574162815542,0.8690004539439485,0
10000,212.97763833153294,38617.90467540844,38830.882313739974,294.8994502937698,130.79700012054414,0.8679290707856271,591
15000,154.20197652821662,38925.14877024756,39079.35074677577,297.245670665787,130.39411509522287,0.8706107533554668,589
20000,-206.07419040775858,38813.00523680316,38606.9310463954,296.3893045153,129.2235652874676,0.8784970335993438,590
25000,94.15744891855866,38898.605100589346,38992.762549507905,297.0429741793572,129.38438832389454,0.8774050737248509,590
30000,39.803717627888545,38659.74366847442,38699.547386102306,295.2189470701927,129.31809445890002,0.8778548682702036,589
35000,58.262143059808295,39251.10365485639,39309.3657979162,299.73477299020504,129.81683901333082,0.8744822292623675,589
40000,-285.36355330148945,38597.61030442102,38312.24675111953,294.74447557676865,128.88018093932206,0.8808376737895709,588
45000,-1066.5646599601023,39050.67256625678,37984.107906296675,298.2042130505446,129.09663199257557,0.8793608092169296,588
50000,107.65912975755055,38582.075606442435,38689.734736199985,294.62584734116473,130.66119900101666,0.8688311422527826,586
55000,420.1135623350274,39078.81061166375,39498.92417399878,298.419084732284,130.58809608991345,0.8693175118963988,586
60000,46.367151067301165,38477.58961115027,38523.956762217575,293.8279567555919,129.56339621658773,0.8761928298514096,582
65000,-583.108135763614,39346.780372709465,38763.67223694585,300.4653929380748,130.30297310259257,0.8712197125908306,583
70000,-463.87791867001215,38938.66214897945,38474.78423030944,297.3488634203691,128.75976025493983,0.8816614643534657,583
75000,-140.01929676288273,39227.183199013474,39087.16390225059,299.5521082563687,129.81289300647865,0.8745088114668687,584
80000,-190.424626151158,39101.320375151714,38910.895749000556,298.59097693965873,129.6343453427182,0.875713287833163,584
85000,-691.6538966823719,39085.722637347484,38394.06874066511,298.47186731051244,129.33963533141213,0.8777086659111735,584
90000,-406.74157080031,38815.224820474294,38408.483249673984,296.4062540108772,129.3482542964112,0.8776501808522756,585
95000,-284.6797937882948,39649.10067662392,39364.42088283563,302.774013568489,130.29749823872325,0.8712563196584349,584
100000,-199.09774907305837,39242.05260601498,39042.95485694192,299.66565610387084,129.13929916058828,0.8790702715135774,584
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-782.9163162352634,38762.464426613355,37979.54811037809,296.0033577046781,130.21605090474452,0.8718012717127728,0
110000,-447.15568458574126,38828.44579615895,38381.29011157321,296.5072138763729,128.8297702614379,0.8811823427597285,589
115000,65.3133355305763,39038.97181977607,39104.28515530664,298.11486217213235,129.5703277012037,0.8761459571049369,589
120000,-412.13101847685175,38307.99938633158,37895.86836785473,292.5329081377399,129.93570274522773,0.8736822626708031,589
125000,-244.97732330550207,39044.377524560296,38799.40020125479,298.156141971819,130.14799164231238,0.8722571692705564,589
130000,53.16449285892304,38990.62004718697,39043.78454004589,297.7456315969081,130.0047210168762,0.8732184330554797,588
135000,-612.8427029325976,38411.31151618683,37798.468813254236,293.321834687719,128.8070721128067,0.8813376231139748,587
140000,-567.7796363015659,38457.20215778438,37889.42252148281,293.67227122990045,129.36247322889358,0.8775537135511087,587
145000,123.2440516409115,38610.94699339529,38734.191045036205,294.8463190682866,130.3941365637452,0.8706106100152301,587
150000,-438.6422418905422,39178.812122884854,38740.16988099431,299.1827302727534,128.93774206828596,0.8804444451652446,587
155000,-314.94841063336935,39144.17190416426,38829.22349353089,298.91820578483464,130.06523812421204,0.872812139610721,587
160000,-880.328164910723,38770.15288979293,37889.82472488221,296.0620694236157,128.51208764196082,0.8833606305770173,583
165000,-232.2981684548431,38530.2668236882,38297.96865523336,294.23021786092676,129.10390596778643,0.879311264250186,583
170000,-506.4991396085243,38946.72840160054,38440.22926199202,297.4104600679316,130.47793903965623,0.8700514402029945,583
175000,-876.1452312432812,38595.26399505962,37719.11876381634,294.72655836073346,128.78783170569466,0.8814692915677977,583
180000,-964.6345413096715,38750.16603544414,37785.53149413447,295.9094430082236,129.42271221510714,0.8771452617025305,584
185000,-896.9874190890114,39157.33246263251,38260.3450435435,299.0187042839238,128.4105830523912,0.8840588998015414,584
190000,-658.1024825866916,39037.25962708946,38379.157144502766,298.10178728662726,129.62149769067727,0.8758000856237312,584
195000,-128.33377776836278,38665.58589371242,38537.25211594406,295.26356028848255,129.49196309049674,0.8766761740791211,584
200000,-735.2309794143075,39085.709918043605,38350.4789386293,298.47177018158345,129.64096593244955,0.875668566333602,584
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,-73.34489884588402,38770.940307444806,38697.59540859892,296.0680824125295,129.6431279243985,0.8756539632580616,0
210000,-976.9234417817206,38650.894041297244,37673.970599515524,295.15136830817056,129.48071229863524,0.8767523499124896,588
215000,-422.4800996539416,39025.960068459535,38603.479968805594,298.0155000150486,130.33769616945324,0.8709876122758817,589
220000,-693.5832071597106,38986.241132102834,38292.65792494312,297.71219271248265,129.3678243356479,0.8775174148529742,590
225000,-53.9561134800897,38971.71869195562,38917.76257847553,297.60129442184945,130.27167143761307,0.8714290491815576,588
230000,-719.3437759860535,38881.978429677845,38162.63465369179,296.91600726716376,130.18614694321568,0.8720015258281469,588
235000,-179.96727690089028,38889.05122262728,38709.08394572639,296.9700175188944,129.84127587551237,0.8743176467629072,588
240000,-458.9287068864214,38919.570446088845,38460.64173920242,297.2030726858657,130.47155956417762,0.8700939818254481,587
245000,-1245.7673298108857,38412.023124860265,37166.25579504938,293.32726877349825,129.62422416849012,0.8757816643022749,587
250000,-982.92842469475,39350.52126891881,38367.59284422406,300.49395969344414,128.80499491753062,0.881351836152441,587
255000,-713.9696084464667,38634.02064363961,37920.051035193144,295.0225173066559,128.64529963649898,0.8824459121082653,587
260000,-322.54869929805864,39058.68393599191,38736.13523669385,298.2653905937295,129.84936587008235,0.8742631742210711,583
265000,-23.01295721437782,39002.176789232064,38979.163832017686,297.8338828084881,130.2030005109581,0.8718886533388083,584
270000,265.54184985905886,38744.768357636676,39010.310207495735,295.8682245052607,130.0635284500979,0.8728236126526981,584
275000,-1038.5128292481531,39377.21580182094,38338.702972572784,300.69780822289846,129.2451897036728,0.8783500495179005,584
280000,-777.7367126349709,39075.825579428536,38298.088866793565,298.3962900112168,128.8500378466429,0.8810437363727106,584
285000,-458.18700288789114,38897.35621882171,38439.16921593382,297.03343729355635,129.45717081288586,0.8769117852903956,584
290000,121.9754091167124,38577.63418956872,38699.609598685434,294.59193117182326,130.19144710775575,0.8719660261723037,584
295000,-753.8332626993069,38881.70300155008,38127.86973885077,296.9139040043338,128.6973480820117,0.882089028779597,584
300000,-812.2439069242682,38711.15769193212,37898.913785007855,295.61156203422325,129.5736605956052,0.8761234208738702,584
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
305000,-500.69563113019103,39207.741405392706,38707.045774262515,299.4036441100179,128.9220078695707,0.8805518984083865,0
310000,-146.9493571735802,38937.862805332414,38790.91344815883,297.34275936050136,130.24287402219142,0.8716217269347797,591
315000,-1157.8559736710158,39242.82322259768,38084.96724892667,299.6715407941081,128.73800943564797,0.8818104247053604,590
320000,-751.1986874617869,39236.76359653751,38485.56490907572,299.62526742922336,129.67029116923058,0.8754705318584891,589
325000,-1096.6975110155763,39000.36225937646,37903.66474836088,297.82002644156563,129.66151942463105,0.8755297584042209,589
330000,-234.11451630940428,39275.83092386837,39041.71640755897,299.9235988237191,130.01881299991118,0.8731237899875995,587
335000,-665.9362276610918,39194.71426633427,38528.778038673176,299.3041644469051,129.80477502636643,0.8745635031770773,587
340000,-657.8975001783692,38864.47501795358,38206.57751777521,296.7823452640298,130.34446613479736,0.8709423740227735,587
345000,-855.8003143215901,38633.525069086,37777.72475476441,295.0187329308678,129.61991689387662,0.8758107665592427,587
350000,-431.763409447507,39830.67440412121,39398.9109946737,304.1605722872182,129.80580264691304,0.874556579608124,588
355000,-9.487199358351063,39364.54836579577,39355.061166437416,300.6010753744476,129.79008175186013,0.874662510754944,587
360000,-281.68917649856303,39299.8306233289,39018.141446830334,300.1068686887626,129.6331557418502,0.8757213239662136,583
365000,-496.29304675612366,39284.411787519726,38788.1187407636,299.98912521607775,129.21405176366423,0.8785617138901193,584
370000,274.4814964517718,38996.49477355401,39270.97627000578,297.79049300486975,130.54167620831902,0.8696266362859602,584
375000,93.24441706464859,39395.85644571859,39489.10086278324,300.8401545175704,129.0073570597557,0.8799693394508366,584
380000,-578.1317799988901,38430.48886517994,37852.35708518105,293.4682794449811,129.68957987313632,0.875340323310634,584
385000,-444.10986197693273,39024.97706927449,38580.86720729756,298.0079934990492,129.58698562722412,0.8760333317941009,584
390000,313.0601061772322,39518.68058453198,39831.740690709215,301.7780814020898,130.47484582002724,0.870072066862303,584
395000,-543.1810902209254,38948.91758408459,38405.73649386367,297.42717740970784,129.08481852458044,0.879441285766338,584
400000,-53.17533584841294,38759.191711572326,38706.01637572391,295.9783661398928,129.8326488336999,0.8743757428963819,585
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
405000,69.3587723231758,38659.27820729758,38728.63697962076,295.21539265038837,129.84863690177062,0.8742680823214976,0
410000,-346.1527140130638,38693.087556952676,38346.93484293961,295.4735723396252,129.29295908161257,0.8780255288651373,586
415000,-271.68626495590433,39061.60077849604,38789.914513540134,298.28766459482534,128.919446410176,0.8805693938134282,586
420000,-127.7989662187756,39229.812315703864,39102.01334948509,299.57218508532327,129.47109808377215,0.8768174554503164,586
425000,-309.76087952626403,39358.87084229561,39049.10996276935,300.557719874627,129.85078656793996,0.874253608904977,583
430000,-215.67281922552502,39277.178214301464,39061.50539507594,299.9338871915486,130.03743719904702,0.8729987396045312,583
435000,239.20940501237055,38693.882447334356,38933.091852346726,295.47964239284465,129.79047142135687,0.8746598847586237,584
440000,-288.74382233666256,39190.262419832645,38901.51859749598,299.2701686333788,130.51825215518326,0.869782707794736,584
445000,-1154.419602257025,38831.6102742531,37677.190671996075,296.53137890703096,129.07795781488082,0.8794880295439871,585
450000,148.37774836237077,39192.68958559301,39341.06733395538,299.28870329636794,130.26323018433348,0.8714855190948932,585
455000,136.67697614757344,38567.70393781387,38704.380913961446,294.5161003931107,130.25351675070502,0.8715505086395832,586
460000,-95.56428827438504,39511.75070861247,39416.18642033808,301.7251625133918,129.83607479136745,0.8743526709243934,582
465000,-760.1782464495045,38911.23756384067,38151.05931739116,297.1394399638161,129.0414783254239,0.8797366571536331,582
470000,-620.2574077023892,38900.325295336275,38280.067887633886,297.05611017131565,129.75179514917434,0.8749206024136755,582
475000,33.84795042942278,38604.806194666126,38638.65414509555,294.7994258413025,130.56156554192893,0.8694941601302603,582
480000,-881.4243775903014,38642.64105117706,37761.21667358676,295.0883456695738,129.20161715508897,0.8786462683350401,582
485000,-120.11159365210915,38765.08846715034,38644.97687349823,296.02339577039936,129.32738504400083,0.8777918051737292,583
