#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-123048.76593450509,31904.231629631282,-91144.53430487381,295.23713733356806,109.55657755067011,1.055030099105432,0
10000,-122892.73985056492,32526.848366503295,-90365.89148406162,300.99874241417234,108.99261355850996,1.0604891753411,633
15000,-123407.514127834,32236.602471945116,-91170.91165588889,298.31284895568234,108.50786430690273,1.0652268165928918,633
20000,-123078.17918231658,32409.612840363097,-90668.56634195348,299.91386183992023,108.46383518250306,1.065659228040843,633
25000,-123084.32765167765,32330.284563571615,-90754.04308810603,299.1797694592791,109.40076991880234,1.056532663862635,632
30000,-123417.54967305122,32378.28264192951,-91039.26703112171,299.6239367226191,108.8015700145348,1.062351277242547,633
35000,-123359.23466021882,32311.568507278575,-91047.66615294025,299.0065737858563,109.7948724155519,1.0527402995056747,633
40000,-123264.17999212205,32374.928600889525,-90889.25139123252,299.5928989127561,108.85953611050844,1.061785590870047,615
45000,-123445.27724014118,31590.91811623021,-91854.35912391097,292.3377794722571,109.42789851494152,1.0562707357041419,617
50000,-123332.58553099434,32184.13222759418,-91148.45330340017,297.8272969161536,109.19506580691646,1.0585229837703365,617
55000,-123569.1518910483,32182.703699455884,-91386.44819159241,297.81407752372166,108.59372788429714,1.0643845562985719,619
60000,-123050.55179208604,31643.70388470952,-91406.84790737652,292.8262513263578,108.25661239013223,1.0676990930991967,616
65000,-123075.90359846997,32333.666381438583,-90742.23721703139,299.2110643118748,108.6136407648721,1.0641894154082916,617
70000,-124135.1516372126,31877.43731982884,-92257.71431738377,294.9891866725167,108.12270757761875,1.0690213874634922,619
75000,-123070.51438610826,32603.43895777355,-90467.0754283347,301.7075006496258,108.75167387965176,1.0628386924770117,620
80000,-122831.24518523517,32043.409152554636,-90787.83603268053,296.52506596717615,108.8184726049824,1.0621862640042534,620
85000,-122972.63514919725,32105.590047352744,-90867.0451018445,297.10047895909986,109.42574701192473,1.0562915038481706,621
90000,-123639.98127000575,32399.501839058557,-91240.47943094719,299.8202960986925,109.33096838061354,1.0572071992314938,621
95000,-123005.54252026242,31689.363996578657,-91316.17852368376,293.2487833865268,109.68362714416979,1.0538080284216729,615
100000,-123351.31813062972,32133.78773765393,-91217.5303929758,297.36141629996996,108.61182459900847,1.0642072103813147,616
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
