#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-51641.0767184163,28096.24574016171,-23544.830978254588,296.31722580045675,101.42598156163284,0.8212890392858984,0
10000,-51012.05294549855,27749.51717726155,-23262.535768237,292.66045091264704,102.25481080531601,0.8146320578889777,671
15000,-51374.5254077822,28034.42516871952,-23340.10023906268,295.66523476946423,102.27966376073512,0.8144341102865585,669
20000,-51221.164695117215,27682.110019265107,-23539.05467585211,291.9495409127374,103.15506389559421,0.8075226150767809,668
25000,-51428.214203116426,28035.51286995548,-23392.701333160945,295.67670621713444,101.76691005918694,0.8185376455562611,667
30000,-51349.506681964616,28470.027610514397,-22879.47907145022,300.2593185591022,101.35253300074453,0.8218842143271421,668
35000,-51413.30981121672,28453.854330282385,-22959.455480934335,300.08874696121813,101.13819546753398,0.8236259958001972,669
40000,-51609.49898053761,28287.081348600484,-23322.417631937125,298.32987470022374,102.52428714660849,0.8124908670300199,670
45000,-50892.76508200189,28105.923802975496,-22786.841279026394,296.41929554851583,102.38350302575338,0.8136080959686396,670
50000,-52325.74658631641,28428.33646175881,-23897.410124557602,299.81962260634253,99.96077470872721,0.8333273446320144,670
55000,-51604.36551373344,28307.771929650185,-23296.593584083257,298.5480880385305,102.43815640715498,0.8131740152008868,670
60000,-51721.94979033567,28416.561942924673,-23305.387847410995,299.69544257217234,101.71450267785585,0.8189593889005744,665
65000,-51667.24104169526,28233.561954031025,-23433.679087664237,297.7654320813769,102.03379838150042,0.8163966085426618,666
70000,-51565.855462989915,28367.781582850945,-23198.07388013897,299.18098020932604,102.1864870333401,0.8151767359240425,666
75000,-52181.11477032944,28164.003152091525,-24017.111618237916,297.0318297555952,101.281166330353,0.8224633460842999,666
80000,-51827.1312606757,28232.99290546424,-23594.138355211457,297.75943060722216,101.76490652140828,0.8185537608473982,666
85000,-51417.54029479774,27998.876085303706,-23418.664209494036,295.29031614599603,101.76247210590711,0.8185733427219607,666
90000,-51475.74160878465,28173.78880937141,-23301.95279941324,297.1350342493424,101.98777662191945,0.8167650057142203,667
95000,-51170.912973840896,27998.678393009617,-23172.23458083128,295.2882311830196,101.73419641390939,0.8188008544980618,667
100000,-51379.46726565657,28333.828973573,-23045.638292083568,298.82289881001844,101.73725700154233,0.8187762223048716,667
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
105000,-51871.39157158759,28942.737601617155,-22928.653969970437,305.2447573421743,101.76794608003298,0.8185293126567901,0
110000,-51469.44936589635,28069.724262779007,-23399.72510311734,296.0375168786723,101.63661086547543,0.8195870193432292,667
115000,-52173.429182982334,28435.35117623895,-23738.078006743384,299.8936033350762,100.59921966634988,0.8280386988254769,669
120000,-51912.26817871211,28204.97342716644,-23707.294751545673,297.4639230097173,101.98084336765916,0.8168205341769054,669
125000,-52269.83958004619,27934.201702828967,-24335.63787721722,294.608227379671,101.05187804236512,0.824329528249439,669
130000,-52461.897669396916,28610.356358656132,-23851.541310740784,301.73929655096504,101.81279349491648,0.8181687595040975,668
135000,-52032.96288933657,28401.213239186633,-23631.74965014994,299.5335673752742,101.39560445162066,0.8215350892762614,667
140000,-51931.98914754586,28217.598088329247,-23714.39105921661,297.5970690751038,101.96525005506584,0.816945448673905,668
145000,-52433.17474804862,28640.832808129806,-23792.341939918817,302.06071660985134,100.924744252678,0.8253679270846637,668
150000,-52147.892774156324,28366.5775703169,-23781.315203839426,299.16828208384635,101.37525937896712,0.8216999637355836,669
155000,-52016.676477967354,28247.75776207225,-23768.918715895103,297.91514825682873,102.22921606699079,0.8148360142055296,669
160000,-50859.57250779838,28012.100769504304,-22847.471738294076,295.4297903579833,101.96972171808432,0.8169096232868254,664
165000,-52421.42959102648,28383.05659875019,-24038.372992276287,299.34207825698627,100.90888639654233,0.8254976338559314,664
170000,-51616.86632559041,28632.190662197434,-22984.675663392976,301.9695721654538,101.07813009969954,0.8241154330142311,665
175000,-52200.838875495625,28369.452381804727,-23831.386493690898,299.19860130060755,102.07381803217392,0.8160765273728302,665
180000,-51681.93696638229,28607.394711745288,-23074.542254637,301.7080615238892,101.58050640614925,0.8200396897247604,666
185000,-51374.37798068291,28408.629355552555,-22965.748625130356,299.6117814914264,101.70689726026772,0.8190206288784726,666
190000,-52014.38577308552,27965.62028294482,-24048.765490140704,294.9395836250789,102.18710709044852,0.8151717895453444,666
195000,-51427.504295426945,28309.386661101682,-23118.117634325263,298.5651178135597,101.93885902811873,0.8171569482880444,666
200000,-51818.07933109469,28333.813188929285,-23484.266142165405,298.8227323371779,101.8419888753103,0.8179342123548926,666
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
205000,-52037.87964307284,28449.56025587066,-23588.31938720218,300.04345947943744,101.43568352232201,0.8212104859238377,0
210000,-51227.28899600313,28637.256943828008,-22590.032052175124,302.02300373534325,101.49741366761624,0.8207110304127915,671
215000,-51983.0641676074,28474.993116017664,-23508.071051589737,300.31168729295484,101.90385731898992,0.8174376235300721,669
220000,-52014.31020583911,28114.471834212913,-23899.838371626196,296.5094474117132,101.95232080932304,0.817049050910524,670
225000,-51881.95742111074,28779.49548761202,-23102.46193349872,303.52312339850977,102.19079959767056,0.8151423345676755,670
230000,-52166.573079749534,28156.87415856457,-24009.698921184965,296.95664378220243,101.02146637168823,0.824577685785087,670
235000,-51839.216604034445,27783.183128579483,-24056.033475454962,293.01550907204387,102.20562185481813,0.8150241194531295,670
240000,-51854.01876974886,27694.642635106127,-24159.37613464273,292.08171622158034,102.15612265306548,0.815419035022303,670
245000,-51836.30916508788,28301.66663027817,-23534.642534809707,298.4836984617405,100.85812397350186,0.8259131111467811,669
250000,-51140.3637432722,28387.750106207084,-22752.61363706512,299.39157836179606,102.47378240879067,0.8128913073890479,669
255000,-51820.06024062904,27784.692855568814,-24035.367385060228,293.03143141687707,101.45971306238658,0.8210159918761282,669
260000,-51815.59368517468,28524.519637347785,-23291.074047826896,300.83401905000915,101.80876501125339,0.8182011337253245,664
265000,-51805.715959352616,27843.30298347937,-23962.412975873245,293.64956348572645,102.17136026806881,0.8152974251965215,665
270000,-51401.31635014195,28325.692164894044,-23075.624185247903,298.7370839080235,101.84141744336557,0.817938801781762,665
275000,-51932.57400313145,28682.616515385555,-23249.957487745894,302.5013887313933,102.79125168063486,0.8103807045193886,666
280000,-51911.95647254179,28423.168817139493,-23488.787655402295,299.7651220110787,102.16957551807089,0.8153116672257218,666
285000,-51487.63083486774,28237.238881858575,-23250.391953009166,297.8042108229712,101.63625866479062,0.8195898594626242,666
290000,-51875.725141162984,28166.16763215736,-23709.557509005623,297.05465745771386,102.24310125979454,0.8147253548552041,667
295000,-51658.58938507477,28586.176848489155,-23072.412536585613,301.48428720060014,101.74585533980557,0.8187070291677382,667
300000,-52103.33667205364,28454.09677789759,-23649.239894156053,300.0913039364597,101.49147939572195,0.8207590179131226,667
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
305000,-50875.04919116327,28690.357760634502,-22184.69143052877,302.58303182127884,103.43648125187977,0.8053256060841576,0
310000,-51627.40160344224,28315.422771415342,-23311.978832026896,298.6287776875269,102.25387702502782,0.8146394970920664,672
315000,-51779.7637603879,28454.36722457621,-23325.396535811687,300.0941562039931,101.94366317931762,0.8171184393173996,672
320000,-51838.127698641794,28417.717078220307,-23420.410620421488,299.70762521356124,101.28491704824212,0.8224328891507781,672
325000,-51913.22185886017,28291.181303653328,-23622.04055520684,298.37311490101075,101.07540342101524,0.8241376649114933,671
330000,-51721.90374399026,28096.355758859565,-23625.547985130695,296.3183861133197,101.29697999179298,0.8223349497895356,671
335000,-51629.54040637295,28486.834288576534,-23142.706117796417,300.43657029103645,100.65224754394455,0.8276024528812836,670
340000,-51459.97019592166,28614.038489392493,-22845.93170652917,301.77813016506866,101.41612492215751,0.8213688604185978,670
345000,-51555.80055173012,28425.432443249352,-23130.36810848077,299.7889953575509,102.63409152529476,0.8116216134173398,670
350000,-51543.691711126245,28223.803008754825,-23319.88870237142,297.6625093059383,102.29175734281881,0.8143378227065975,670
355000,-50735.76579410414,28800.415598951928,-21935.350195152212,303.7437574794118,101.85793971082165,0.8178061248035695,669
360000,-51106.824952431605,28664.486249348443,-22442.33870308316,302.31017777086765,101.44403686906651,0.8211428638520939,665
365000,-51828.82095276177,28494.130181967063,-23334.69077079471,300.51351647485086,100.83440222801562,0.82610741091138,665
370000,-51496.93478612244,28279.05938229399,-23217.875403828446,298.2452709840053,102.25525508832533,0.8146285184407426,666
375000,-51448.53828645314,28423.75344795284,-23024.7848385003,299.77128782349115,102.85206788450894,0.8099015281726669,666
380000,-51628.649524330074,28230.386070097687,-23398.263454232387,297.7319376022463,102.9546473362587,0.8090945781526266,666
385000,-51205.23894851853,28139.226600062688,-23066.01234845584,296.7705236996195,102.70963290655422,0.8110246779985038,666
390000,-51666.16507031754,28325.470261170347,-23340.694809147193,298.7347435990581,102.05641616438137,0.8162156784068532,666
395000,-51822.23619154963,28334.35844614077,-23487.87774540886,298.82848289566,100.8002842936002,0.8263870239964333,666
400000,-51601.441972415894,28207.431592715417,-23394.010379700478,297.489848067562,101.94191922272053,0.8171324180525825,667
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
405000,-52179.47754787706,28703.888108900854,-23475.589438976207,302.7257297211861,101.96890855561278,0.8169161378240279,0
410000,-51084.913825426775,28027.89996039418,-23057.013865032593,295.59641662035574,102.89389566227742,0.8095722921094709,666
415000,-51643.587388834916,28379.339170817762,-23264.248218017154,299.3028723807907,102.97339193792372,0.808947295876192,669
420000,-51469.542215359485,28522.15515311444,-22947.387062245045,300.809082002727,102.94014836040434,0.8092085379918087,670
425000,-51771.08993529857,28373.328602529873,-23397.7613327687,299.23948188595296,101.48624495922715,0.8208013508515275,668
430000,-51727.1994038501,28311.714513132323,-23415.484890717777,298.58966851909423,101.02739974557036,0.8245292580544222,669
435000,-52299.3189525966,28670.58137238744,-23628.73758020916,302.37446002289994,101.6941716985312,0.819123117520665,669
440000,-52925.35419545308,28572.552196523746,-24352.801998929335,301.3405947261598,100.58230561704757,0.8281779428733264,669
445000,-51783.69985764881,28411.277002312243,-23372.42285533657,299.639704914007,102.11714265851955,0.8157302954895499,669
450000,-51640.310834551114,28048.85366393168,-23591.457170619433,295.8174049815731,101.62954214235097,0.8196440247532115,669
455000,-51830.55228229982,28570.252322982138,-23260.29995931768,301.3163390959292,101.5288334352927,0.8204570478835673,669
460000,-52013.53863292371,28193.432163886562,-23820.106469037146,297.3422030066623,101.86432118942446,0.8177548918279237,665
465000,-51808.39755893071,28217.450165414382,-23590.947393516326,297.59550900518656,101.42191622879733,0.8213219593235292,664
470000,-52086.100754646,28883.22210702825,-23202.878647617752,304.61707681817046,101.98970751840001,0.8167495425002024,665
475000,-51773.19074117701,27984.4373103011,-23788.75343087591,295.13803751801504,101.75922547399087,0.8185994593352495,665
480000,-51951.0130444495,28763.870703440916,-23187.142341008584,303.3583365176528,101.74356770357575,0.8187254372489938,665
485000,-51451.9112862543,29033.46070745109,-22418.450578803207,306.20156912711275,101.88131031651326,0.8176185278398517,665
490000,-51750.61383980111,28152.12748520753,-23598.48635459358,296.90658296290485,101.30193678839863,0.8222947121868099,666
495000,-51270.42708337441,28428.335536140265,-22842.091547234144,299.81961284430093,101.7252590049342,0.8188727929544244,666
500000,-51820.519606407266,28712.102511777197,-23108.41709463007,302.8123629708535,101.97438723263876,0.816872248178815,666
